src,rel,dst,evidence_span,evidence_text,confidence
Article 1,CONTAINS,Article 1(1),,,1.0
Article 1,CONTAINS,Article 1(2),,,1.0
Article 2,CONTAINS,Article 2(1),,,1.0
Article 2,CONTAINS,Article 2(2),,,1.0
Article 2,CONTAINS,Article 2(3),,,1.0
Article 2,CONTAINS,Article 2(4),,,1.0
Article 2,CONTAINS,Article 2(5),,,1.0
Article 2,CONTAINS,Article 2(6),,,1.0
Article 2,CONTAINS,Article 2(7),,,1.0
Article 2,CONTAINS,Article 2(8),,,1.0
Article 2,CONTAINS,Article 2(9),,,1.0
Article 2,CONTAINS,Article 2(10),,,1.0
Article 2,CONTAINS,Article 2(11),,,1.0
Article 2,CONTAINS,Article 2(12),,,1.0
Article 3,CONTAINS,Article 3(1),,,1.0
Article 3,CONTAINS,Article 3(2),,,1.0
Article 3,CONTAINS,Article 3(3),,,1.0
Article 3,CONTAINS,Article 3(4),,,1.0
Article 3,CONTAINS,Article 3(5),,,1.0
Article 3,CONTAINS,Article 3(6),,,1.0
Article 3,CONTAINS,Article 3(7),,,1.0
Article 3,CONTAINS,Article 3(8),,,1.0
Article 3,CONTAINS,Article 3(9),,,1.0
Article 3,CONTAINS,Article 3(10),,,1.0
Article 3,CONTAINS,Article 3(11),,,1.0
Article 3,CONTAINS,Article 3(12),,,1.0
Article 3,CONTAINS,Article 3(13),,,1.0
Article 3,CONTAINS,Article 3(14),,,1.0
Article 3,CONTAINS,Article 3(15),,,1.0
Article 3,CONTAINS,Article 3(16),,,1.0
Article 3,CONTAINS,Article 3(17),,,1.0
Article 3,CONTAINS,Article 3(18),,,1.0
Article 3,CONTAINS,Article 3(19),,,1.0
Article 3,CONTAINS,Article 3(20),,,1.0
Article 3,CONTAINS,Article 3(21),,,1.0
Article 3,CONTAINS,Article 3(22),,,1.0
Article 3,CONTAINS,Article 3(23),,,1.0
Article 3,CONTAINS,Article 3(24),,,1.0
Article 3,CONTAINS,Article 3(25),,,1.0
Article 3,CONTAINS,Article 3(26),,,1.0
Article 3,CONTAINS,Article 3(27),,,1.0
Article 3,CONTAINS,Article 3(28),,,1.0
Article 3,CONTAINS,Article 3(29),,,1.0
Article 3,CONTAINS,Article 3(30),,,1.0
Article 3,CONTAINS,Article 3(31),,,1.0
Article 3,CONTAINS,Article 3(32),,,1.0
Article 3,CONTAINS,Article 3(33),,,1.0
Article 3,CONTAINS,Article 3(34),,,1.0
Article 3,CONTAINS,Article 3(35),,,1.0
Article 3,CONTAINS,Article 3(36),,,1.0
Article 3,CONTAINS,Article 3(37),,,1.0
Article 3,CONTAINS,Article 3(38),,,1.0
Article 3,CONTAINS,Article 3(39),,,1.0
Article 3,CONTAINS,Article 3(40),,,1.0
Article 3,CONTAINS,Article 3(41),,,1.0
Article 3,CONTAINS,Article 3(42),,,1.0
Article 3,CONTAINS,Article 3(43),,,1.0
Article 3,CONTAINS,Article 3(44),,,1.0
Article 3,CONTAINS,Article 3(45),,,1.0
Article 3,CONTAINS,Article 3(46),,,1.0
Article 3,CONTAINS,Article 3(47),,,1.0
Article 3,CONTAINS,Article 3(48),,,1.0
Article 3,CONTAINS,Article 3(49),,,1.0
Article 3,CONTAINS,Article 3(50),,,1.0
Article 3,CONTAINS,Article 3(51),,,1.0
Article 3,CONTAINS,Article 3(52),,,1.0
Article 3,CONTAINS,Article 3(53),,,1.0
Article 3,CONTAINS,Article 3(54),,,1.0
Article 3,CONTAINS,Article 3(55),,,1.0
Article 3,CONTAINS,Article 3(56),,,1.0
Article 3,CONTAINS,Article 3(57),,,1.0
Article 3,CONTAINS,Article 3(58),,,1.0
Article 3,CONTAINS,Article 3(59),,,1.0
Article 3,CONTAINS,Article 3(60),,,1.0
Article 3,CONTAINS,Article 3(61),,,1.0
Article 3,CONTAINS,Article 3(62),,,1.0
Article 3,CONTAINS,Article 3(63),,,1.0
Article 3,CONTAINS,Article 3(64),,,1.0
Article 3,CONTAINS,Article 3(65),,,1.0
Article 3,CONTAINS,Article 3(66),,,1.0
Article 3,CONTAINS,Article 3(67),,,1.0
Article 3,CONTAINS,Article 3(68),,,1.0
Article 5,CONTAINS,Article 5(1),,,1.0
Article 5,CONTAINS,Article 5(2),,,1.0
Article 5,CONTAINS,Article 5(3),,,1.0
Article 5,CONTAINS,Article 5(4),,,1.0
Article 5,CONTAINS,Article 5(5),,,1.0
Article 5,CONTAINS,Article 5(6),,,1.0
Article 5,CONTAINS,Article 5(7),,,1.0
Article 5,CONTAINS,Article 5(8),,,1.0
Article 6,CONTAINS,Article 6(1),,,1.0
Article 6,CONTAINS,Article 6(2),,,1.0
Article 6,CONTAINS,Article 6(3),,,1.0
Article 6,CONTAINS,Article 6(4),,,1.0
Article 6,CONTAINS,Article 6(5),,,1.0
Article 6,CONTAINS,Article 6(6),,,1.0
Article 6,CONTAINS,Article 6(7),,,1.0
Article 6,CONTAINS,Article 6(8),,,1.0
Article 7,CONTAINS,Article 7(1),,,1.0
Article 7,CONTAINS,Article 7(2),,,1.0
Article 7,CONTAINS,Article 7(3),,,1.0
Article 8,CONTAINS,Article 8(1),,,1.0
Article 8,CONTAINS,Article 8(2),,,1.0
Article 9,CONTAINS,Article 9(1),,,1.0
Article 9,CONTAINS,Article 9(2),,,1.0
Article 9,CONTAINS,Article 9(3),,,1.0
Article 9,CONTAINS,Article 9(4),,,1.0
Article 9,CONTAINS,Article 9(5),,,1.0
Article 9,CONTAINS,Article 9(6),,,1.0
Article 9,CONTAINS,Article 9(7),,,1.0
Article 9,CONTAINS,Article 9(8),,,1.0
Article 9,CONTAINS,Article 9(9),,,1.0
Article 9,CONTAINS,Article 9(10),,,1.0
Article 10,CONTAINS,Article 10(1),,,1.0
Article 10,CONTAINS,Article 10(2),,,1.0
Article 10,CONTAINS,Article 10(3),,,1.0
Article 10,CONTAINS,Article 10(4),,,1.0
Article 10,CONTAINS,Article 10(5),,,1.0
Article 10,CONTAINS,Article 10(6),,,1.0
Article 11,CONTAINS,Article 11(1),,,1.0
Article 11,CONTAINS,Article 11(2),,,1.0
Article 11,CONTAINS,Article 11(3),,,1.0
Article 12,CONTAINS,Article 12(1),,,1.0
Article 12,CONTAINS,Article 12(2),,,1.0
Article 12,CONTAINS,Article 12(3),,,1.0
Article 13,CONTAINS,Article 13(1),,,1.0
Article 13,CONTAINS,Article 13(2),,,1.0
Article 13,CONTAINS,Article 13(3),,,1.0
Article 14,CONTAINS,Article 14(1),,,1.0
Article 14,CONTAINS,Article 14(2),,,1.0
Article 14,CONTAINS,Article 14(3),,,1.0
Article 14,CONTAINS,Article 14(4),,,1.0
Article 14,CONTAINS,Article 14(5),,,1.0
Article 15,CONTAINS,Article 15(1),,,1.0
Article 15,CONTAINS,Article 15(2),,,1.0
Article 15,CONTAINS,Article 15(3),,,1.0
Article 15,CONTAINS,Article 15(4),,,1.0
Article 15,CONTAINS,Article 15(5),,,1.0
Article 17,CONTAINS,Article 17(1),,,1.0
Article 17,CONTAINS,Article 17(2),,,1.0
Article 17,CONTAINS,Article 17(3),,,1.0
Article 17,CONTAINS,Article 17(4),,,1.0
Article 18,CONTAINS,Article 18(1),,,1.0
Article 18,CONTAINS,Article 18(2),,,1.0
Article 18,CONTAINS,Article 18(3),,,1.0
Article 19,CONTAINS,Article 19(1),,,1.0
Article 19,CONTAINS,Article 19(2),,,1.0
Article 20,CONTAINS,Article 20(1),,,1.0
Article 20,CONTAINS,Article 20(2),,,1.0
Article 21,CONTAINS,Article 21(1),,,1.0
Article 21,CONTAINS,Article 21(2),,,1.0
Article 21,CONTAINS,Article 21(3),,,1.0
Article 22,CONTAINS,Article 22(1),,,1.0
Article 22,CONTAINS,Article 22(2),,,1.0
Article 22,CONTAINS,Article 22(3),,,1.0
Article 22,CONTAINS,Article 22(4),,,1.0
Article 23,CONTAINS,Article 23(1),,,1.0
Article 23,CONTAINS,Article 23(2),,,1.0
Article 23,CONTAINS,Article 23(3),,,1.0
Article 23,CONTAINS,Article 23(4),,,1.0
Article 23,CONTAINS,Article 23(5),,,1.0
Article 23,CONTAINS,Article 23(6),,,1.0
Article 23,CONTAINS,Article 23(7),,,1.0
Article 24,CONTAINS,Article 24(1),,,1.0
Article 24,CONTAINS,Article 24(2),,,1.0
Article 24,CONTAINS,Article 24(3),,,1.0
Article 24,CONTAINS,Article 24(4),,,1.0
Article 24,CONTAINS,Article 24(5),,,1.0
Article 24,CONTAINS,Article 24(6),,,1.0
Article 25,CONTAINS,Article 25(1),,,1.0
Article 25,CONTAINS,Article 25(2),,,1.0
Article 25,CONTAINS,Article 25(3),,,1.0
